Carat Weight,Color,Clarity,Depth,Table,Cut,Report,Price
0.7,I,SI1,58.4,60,Very Good,GIA,1508
0.5,F,VS1,62.3,57,Very Good,GIA,1553
0.42,D,VVS1,61.2,57,Ideal,GIA,1553
0.42,D,VVS1,60.4,60,Excellent,GIA,1553
0.5,E,VS2,63.6,56,Very Good,GIA,1553
0.75,K,VS2,62.1,58,Excellent,GIA,1553
0.43,D,VVS1,61.6,56,Excellent,GIA,1554
0.51,D,VS1,58.4,61,Good,GIA,1554
0.7,H,SI2,60.9,58,Very Good,GIA,1554
0.7,I,SI1,64,57,Very Good,GIA,1554
0.7,G,SI2,63.3,56,Very Good,GIA,1554
0.71,F,SI2,61,58,Very Good,GIA,1555
0.71,F,SI2,63.7,61,Good,GIA,1555
0.73,I,SI2,63.9,59,Very Good,GIA,1555
0.65,I,VS1,61.3,59,Excellent,GIA,1555
0.55,E,SI1,60.4,57,Ideal,GIA,1555
0.4,D,VVS1,60.9,61,Very Good,GIA,1556
0.4,D,VVS1,60.5,59,Excellent,GIA,1556
0.5,E,VS1,63.4,56,Very Good,GIA,1556
0.5,E,VS1,61.9,57,Very Good,GIA,1556
0.5,E,VS1,62.7,60,Very Good,GIA,1556
0.6,D,SI1,62.5,57,Excellent,GIA,1556
0.65,F,SI1,63,57,Very Good,GIA,1556
0.52,F,VS2,61.4,55,Ideal,GIA,1556
0.5,E,VS1,61.1,60,Very Good,GIA,1556
0.52,F,VS2,62.2,59,Excellent,GIA,1556
0.59,E,SI1,62.6,59,Excellent,GIA,1591
0.59,G,VS2,61.4,58,Excellent,GIA,1591
0.55,E,VS2,60.4,62,Very Good,GIA,1591
0.62,E,SI1,58.9,61,Very Good,GIA,1591
0.56,F,VS2,61.8,59,Excellent,GIA,1592
0.71,H,SI2,62.7,57,Very Good,GIA,1592
0.7,J,VS2,62.4,58,Very Good,GIA,1592
0.7,J,VS2,62.3,57,Very Good,GIA,1592
0.57,F,VS2,64.1,55,Good,GIA,1592
0.57,F,VS2,62.7,55,Excellent,GIA,1592
0.57,F,VS2,61.7,60,Excellent,GIA,1592
0.57,F,VS2,61.4,57,Excellent,GIA,1592
0.57,F,VS2,62.6,58,Excellent,GIA,1592
0.53,E,VS2,62.7,56,Very Good,GIA,1592
0.51,H,VVS1,63.7,57,Very Good,GIA,1592
0.5,F,VS1,59.4,58,Good,GIA,1593
0.5,F,VS1,62.3,61,Very Good,GIA,1593
0.7,H,SI1,63.4,54,Very Good,GIA,1594
0.5,E,VS2,60.7,58,Excellent,GIA,1594
0.48,H,IF,61.7,57,Ideal,GIA,1594
0.7,H,SI2,61.8,61,Very Good,GIA,1594
0.7,H,SI2,63.2,56,Very Good,GIA,1594
0.7,H,SI2,63.3,59,Very Good,GIA,1594
0.7,H,SI2,63.5,57,Very Good,GIA,1594
0.7,H,SI2,63.7,57,Very Good,GIA,1594
0.62,F,SI1,61.2,56,Very Good,GIA,1626
0.54,D,VS2,63.1,56,Very Good,GIA,1626
0.7,I,SI2,62.5,58,Excellent,GIA,1627
0.72,F,SI2,62.6,55,Excellent,GIA,1627
0.8,J,SI2,63,58,Good,GIA,1627
0.5,F,VS1,62.2,57,Excellent,GIA,1627
0.5,F,VS1,61.8,55,Excellent,GIA,1627
0.5,E,VS1,60.4,60,Very Good,GIA,1628
0.51,F,VS1,63,57,Excellent,GIA,1628
0.51,F,VS1,62.3,59,Excellent,GIA,1628
0.5,E,VS1,61.4,58,Very Good,GIA,1628
0.47,E,VVS2,60.2,58,Excellent,GIA,1628
0.71,J,VS1,60.9,55,Good,GIA,1629
0.52,I,IF,62.6,56,Excellent,GIA,1629
0.52,G,VVS2,61.7,53,Excellent,GIA,1629
0.52,G,VVS2,62.7,55,Very Good,GIA,1629
0.52,G,VVS2,61.9,56,Very Good,GIA,1629
0.62,G,VS2,61.7,57,Excellent,GIA,1629
0.62,E,SI1,63.2,58,Very Good,GIA,1629
0.56,F,VS2,62.3,56,Excellent,GIA,1629
0.64,E,SI1,61.3,57,Excellent,GIA,1630
0.7,J,VS1,60.7,59,Excellent,GIA,1630
0.63,F,SI1,62.2,57,Very Good,GIA,1630
0.7,H,SI1,63.8,64,Good,GIA,1630
0.5,D,VVS2,64,56,Good,GIA,1630
0.57,E,VS2,58.8,59,Excellent,GIA,1668
0.38,D,IF,61.7,58,Excellent,GIA,1668
0.46,D,VVS2,58.3,65,Very Good,GIA,1668
0.72,J,SI1,61.1,57,Very Good,GIA,1670
0.72,I,SI1,62.7,60,Very Good,GIA,1670
0.61,F,SI1,59.1,60,Excellent,GIA,1670
0.78,G,SI2,63.8,62,Good,GIA,1670
0.56,D,VS2,59.1,57,Very Good,GIA,1670
0.55,I,VVS1,62.1,57,Excellent,GIA,1670
0.5,G,VS1,62.4,59,Very Good,GIA,1671
0.5,G,VS1,62.3,57,Very Good,GIA,1671
0.7,G,SI2,63.1,58,Very Good,GIA,1671
0.66,F,SI1,59.7,60,Very Good,GIA,1671
0.7,G,SI2,61.5,59,Very Good,GIA,1671
0.7,H,SI1,62,61,Good,GIA,1671
0.72,J,VS1,62.5,55,Excellent,GIA,1672
0.7,H,SI2,63.8,56,Very Good,GIA,1672
0.7,H,SI2,63.7,55,Very Good,GIA,1672
0.7,I,SI1,63.7,62,Good,GIA,1672
0.7,I,SI1,59.3,61,Very Good,GIA,1672
0.62,G,SI1,62.3,58,Excellent,GIA,1672
0.56,D,VS2,60.5,60,Excellent,GIA,1673
0.41,D,IF,62.7,55,Excellent,GIA,1673
0.52,D,VS2,61.8,55,Ideal,GIA,1673
0.7,G,SI2,63.9,58,Very Good,GIA,1674
0.56,I,VVS2,57.9,60,Very Good,GIA,1709
0.61,G,VS2,61.9,59,Excellent,GIA,1709
0.57,D,VS2,59.4,61,Excellent,GIA,1710
0.7,F,SI2,59.4,64,Very Good,GIA,1710
0.78,J,SI1,61.3,58,Excellent,GIA,1710
0.52,D,VS1,62.7,56,Excellent,GIA,1710
0.59,F,SI1,60.3,59,Excellent,GIA,1710
0.56,H,VS1,61.8,59,Excellent,GIA,1711
0.56,H,VS1,62.3,58,Excellent,GIA,1711
0.56,H,VS1,61.7,58,Excellent,GIA,1711
0.51,E,VS1,62.4,56,Excellent,AGS,1711
0.5,E,VS2,61.2,57,Ideal,GIA,1712
0.49,G,VVS1,62.3,56,Excellent,GIA,1712
0.76,F,SI2,63.3,60,Very Good,GIA,1712
0.71,K,VVS2,62.6,57,Very Good,GIA,1712
0.58,E,VS2,62.1,59,Excellent,GIA,1713
0.62,D,SI1,62.4,55,Excellent,GIA,1713
0.56,F,VS2,59.9,58,Excellent,AGS,1713
0.5,F,VVS2,62.5,54,Very Good,GIA,1715
0.71,J,VS2,62.6,54,Excellent,GIA,1715
0.53,G,VVS2,60.9,58,Very Good,GIA,1715
0.75,J,SI1,61.6,56,Ideal,GIA,1715
0.71,I,SI1,62,57,Excellent,GIA,1715
0.71,I,SI1,61.9,57,Excellent,GIA,1715
0.71,H,SI2,62.1,58,Very Good,GIA,1715
0.71,G,SI2,62.6,56,Very Good,GIA,1751
0.62,G,SI1,61.9,57,Excellent,GIA,1752
0.62,G,SI1,62.8,57,Excellent,GIA,1752
0.71,J,VS1,62.2,57,Excellent,GIA,1752
0.51,D,VS2,61.6,59,Excellent,GIA,1752
0.7,F,SI2,59.8,60,Very Good,GIA,1752
0.52,E,VS1,61.1,58,Excellent,GIA,1752
0.58,F,VS2,60.7,63,Good,GIA,1753
0.74,H,SI2,61.1,59,Excellent,GIA,1753
0.51,D,VS2,63.4,57,Very Good,GIA,1753
0.54,F,VS2,61.3,57,Ideal,GIA,1754
0.5,F,VS1,57.8,62,Very Good,GIA,1754
0.5,E,VS1,62.9,57,Very Good,GIA,1754
0.55,F,VS1,62.5,57,Excellent,GIA,1756
0.5,D,VS1,59.8,60,Very Good,GIA,1756
0.5,D,VS1,62,58,Very Good,GIA,1756
0.72,H,SI1,62.4,56,Excellent,GIA,1756
0.58,D,SI1,62.1,57,Excellent,AGS,1756
0.71,H,SI2,61.6,59,Very Good,GIA,1756
0.71,I,SI1,62.5,58,Excellent,GIA,1756
0.52,I,IF,62.5,56,Excellent,GIA,1757
0.47,D,VVS1,61.8,59,Very Good,GIA,1757
0.59,E,VS2,63.1,57,Very Good,GIA,1757
0.72,E,SI2,64.1,58,Good,GIA,1757
0.72,E,SI2,63.1,64,Good,GIA,1757
0.73,F,SI2,63.6,55,Very Good,GIA,1798
0.64,H,VS1,62.8,58,Very Good,GIA,1798
0.82,I,SI2,59.9,59,Excellent,GIA,1798
0.8,K,VVS1,61.6,61,Excellent,GIA,1798
0.5,D,VS2,62.9,60,Very Good,GIA,1798
0.7,F,SI2,58.6,59,Good,GIA,1799
0.5,D,VS1,61.5,54,Excellent,GIA,1799
0.5,E,VVS2,62.1,56,Very Good,GIA,1799
0.49,G,VVS1,62.2,56,Excellent,GIA,1799
0.7,D,SI2,63.3,56,Good,GIA,1799
0.7,J,VVS1,62.5,58,Excellent,GIA,1800
0.6,E,SI1,62,58,Excellent,GIA,1800
0.52,D,VS1,62.9,61,Very Good,GIA,1800
0.75,H,SI2,62.2,56,Excellent,GIA,1800
0.71,F,SI1,60.4,57,Excellent,GIA,1800
0.7,I,SI1,61.9,57,Excellent,GIA,1800
0.7,I,SI1,59.9,59,Excellent,GIA,1800
0.71,H,SI1,62,62,Very Good,GIA,1800
0.78,I,SI2,62.9,58,Very Good,GIA,1801
0.72,K,VVS1,62.1,56,Excellent,GIA,1801
0.72,H,SI2,61.9,59,Very Good,GIA,1801
0.69,E,VS1,62.2,62,Good,GIA,1801
0.55,G,VVS2,61.1,59,Excellent,GIA,1801
0.53,F,VS1,63,54,Excellent,GIA,1801
0.53,F,VS1,62.1,58,Excellent,GIA,1801
0.5,F,VS1,61.5,56,Ideal,GIA,1841
0.7,K,IF,62.3,57,Very Good,GIA,1841
0.7,G,SI2,61.1,60,Excellent,GIA,1841
0.76,G,SI2,62.3,56,Excellent,GIA,1842
0.75,K,VVS1,62.7,55,Excellent,GIA,1842
0.83,J,VS2,62.9,58,Very Good,GIA,1843
0.54,G,VVS2,60.9,58,Excellent,GIA,1843
0.71,F,SI2,61.6,59,Excellent,GIA,1843
0.8,J,SI2,60.7,59,Excellent,GIA,1843
0.7,I,SI1,63.5,58,Very Good,GIA,1844
0.7,I,SI1,61.8,57,Very Good,GIA,1844
0.7,H,SI2,60.9,53,Very Good,GIA,1844
0.7,I,SI1,60.8,59,Very Good,GIA,1844
0.5,E,VVS2,63.6,60,Very Good,GIA,1844
0.5,E,VVS2,63.7,58,Very Good,GIA,1844
0.63,F,VS2,62.9,56,Very Good,GIA,1844
0.53,D,VS1,57.2,61,Good,GIA,1845
0.53,D,VS1,62.8,56,Excellent,GIA,1845
0.53,D,VS1,59.2,60,Excellent,GIA,1845
0.6,G,VS1,63.8,57,Very Good,GIA,1845
0.7,H,SI1,60.2,60,Excellent,GIA,1845
0.52,I,IF,60.7,57,Ideal,GIA,1845
0.52,I,IF,61,57,Ideal,GIA,1845
0.51,E,VS1,62.9,58,Very Good,GIA,1845
0.5,E,VVS2,62.3,56,Excellent,GIA,1845
0.91,K,SI1,62.6,57,Excellent,GIA,1881
0.7,D,SI2,60.5,58,Good,GIA,1881
0.5,E,VVS1,62.9,60,Good,GIA,1881
0.77,J,VS1,62.5,61,Very Good,GIA,1881
0.53,G,VVS1,61.7,56,Ideal,GIA,1881
0.53,G,VVS1,61.8,57,Ideal,GIA,1881
0.52,E,VS1,61.4,58,Excellent,GIA,1881
0.52,E,VS1,62.8,56,Very Good,GIA,1881
0.71,H,SI1,62.1,58,Excellent,GIA,1881
0.6,G,VS1,59.8,59,Good,GIA,1881
0.6,G,VS1,61.7,57,Excellent,GIA,1881
0.7,E,SI2,61.8,60,Very Good,GIA,1882
0.72,F,SI2,61.5,56,Ideal,GIA,1882
0.71,J,IF,63.4,55,Very Good,GIA,1882
0.75,E,SI2,63.3,55,Very Good,GIA,1882
0.7,H,SI1,60.7,54,Excellent,GIA,1883
0.7,H,SI1,62.1,58,Excellent,GIA,1883
0.7,H,SI1,61.7,59,Excellent,GIA,1883
0.7,H,SI1,61.1,59,Excellent,GIA,1883
0.7,H,SI1,61.5,57,Excellent,GIA,1883
0.53,H,IF,62.7,56,Excellent,GIA,2001
0.54,G,IF,61.3,54,Excellent,GIA,2001
0.54,G,IF,62.1,57,Excellent,GIA,2001
0.58,H,IF,61.5,58,Excellent,GIA,2001
0.56,F,VVS2,62,58,Excellent,GIA,2001
0.72,H,SI1,61.1,58,Excellent,GIA,2001
0.51,G,VVS2,60.5,59,Excellent,GIA,2001
0.74,E,SI2,60.4,59,Very Good,GIA,2002
0.77,K,IF,62.2,56,Excellent,GIA,2002
0.76,J,VS2,58.4,61,Very Good,GIA,2002
0.5,D,VVS2,62.5,60,Very Good,GIA,2002
0.5,E,VVS1,63.7,60,Very Good,GIA,2002
0.5,E,VVS1,63.8,57,Very Good,GIA,2002
0.5,E,VVS1,63.1,59,Very Good,GIA,2002
0.5,D,VVS2,63.4,60,Good,GIA,2002
0.5,D,VVS2,63.3,58,Very Good,GIA,2002
0.5,E,VVS1,62.7,55,Very Good,GIA,2002
0.5,E,VVS1,63.2,58,Very Good,GIA,2002
0.53,E,VVS2,62,58,Excellent,GIA,2002
0.53,E,VVS2,62.2,58,Excellent,GIA,2002
0.74,I,VS1,63.5,55,Very Good,GIA,2003
0.51,E,VVS2,63.6,60,Good,GIA,2003
0.71,F,SI2,61.1,56,Excellent,GIA,2003
0.52,E,VVS2,63,58,Very Good,GIA,2004
0.81,H,SI2,62.9,58,Very Good,GIA,2004
0.53,E,VVS2,60.9,60,Excellent,GIA,2079
0.71,F,SI2,59.3,57,Good,GIA,2080
0.83,J,VS1,63.1,59,Very Good,GIA,2080
0.73,I,VS1,62.3,57,Very Good,GIA,2080
0.73,H,SI1,63.2,55,Very Good,GIA,2080
0.72,H,VS2,62.2,56,Excellent,GIA,2081
0.6,F,VS1,61.9,55,Excellent,GIA,2081
0.9,K,SI1,60.5,59,Very Good,GIA,2081
0.71,F,SI2,61.2,57,Excellent,GIA,2081
0.72,H,SI1,61.5,57,Excellent,GIA,2081
0.71,I,VS2,61.6,60,Excellent,GIA,2082
0.7,F,SI1,61.2,58,Very Good,GIA,2082
0.5,E,VVS1,61.4,56,Very Good,GIA,2082
0.52,E,VVS1,61.4,57,Ideal,GIA,2082
0.52,E,VVS1,62.5,61,Very Good,GIA,2082
0.72,F,SI2,61.2,57,Excellent,GIA,2082
0.5,D,VVS2,58.6,60,Very Good,GIA,2083
0.71,G,SI1,62.5,57,Excellent,GIA,2083
0.9,K,VS2,62.1,60,Very Good,GIA,2083
0.54,G,VVS2,61.7,56,Ideal,GIA,2083
0.7,D,SI2,61.7,56,Excellent,GIA,2083
0.55,H,VVS1,60.2,59,Excellent,GIA,2083
0.7,J,VVS1,62.6,60,Very Good,GIA,2083
0.62,F,VS1,61.3,58,Excellent,GIA,2083
0.62,F,VS1,61.5,60,Very Good,GIA,2083
0.6,G,VVS2,62.3,58,Very Good,GIA,2117
0.7,H,VVS2,64.1,57,Good,GIA,2117
0.75,F,SI2,58.9,57,Very Good,GIA,2117
0.7,F,SI2,59.6,57,Very Good,GIA,2117
0.8,F,SI2,62.6,58,Very Good,GIA,2117
0.73,G,SI1,61.4,58,Excellent,GIA,2118
0.73,I,VS1,63.7,55,Very Good,GIA,2118
0.73,I,VS1,63.6,56,Very Good,GIA,2118
0.72,G,SI2,61.6,57,Ideal,GIA,2118
0.5,E,VVS2,61.8,59,Very Good,GIA,2118
0.71,G,SI1,62.1,57,Excellent,GIA,2118
0.71,G,SI1,60.4,59,Excellent,GIA,2118
0.71,G,SI1,62.3,56,Excellent,GIA,2118
0.71,I,VS1,61.6,56,Excellent,GIA,2118
0.71,I,VS1,61,60,Excellent,GIA,2118
0.71,I,VS1,62.7,58,Very Good,GIA,2118
0.71,F,SI2,62.5,58,Excellent,GIA,2118
0.53,E,VVS2,62.3,56,Very Good,GIA,2119
0.53,E,VVS2,62.1,57,Excellent,GIA,2119
0.53,E,VVS2,62.2,56,Excellent,GIA,2119
0.53,E,VVS2,62.5,57,Excellent,GIA,2119
0.53,E,VVS2,62.5,57,Very Good,GIA,2119
0.71,F,SI1,62.6,56,Excellent,GIA,2119
0.71,F,SI1,63.3,57,Very Good,GIA,2119
0.71,F,SI1,63.3,58,Very Good,GIA,2119
0.51,F,VVS1,61.9,56,Excellent,GIA,2156
0.5,E,VVS1,63.4,57,Very Good,GIA,2156
0.73,H,VS2,61.8,57,Very Good,GIA,2156
0.5,D,VVS2,58.9,60,Excellent,GIA,2156
0.5,D,VVS2,62.2,58,Excellent,GIA,2156
0.5,D,VVS2,60.6,60,Very Good,GIA,2156
0.5,D,VVS2,61.6,57,Excellent,GIA,2156
0.5,D,VVS2,60.3,58,Very Good,GIA,2156
0.55,F,VS2,59.9,60,Excellent,GIA,2156
0.5,F,IF,62.6,57,Very Good,GIA,2156
0.5,E,VVS1,62.5,56,Excellent,GIA,2156
0.7,G,VS2,63.3,57,Very Good,GIA,2156
0.6,G,VS1,62.7,56,Excellent,GIA,2156
0.52,G,IF,58.6,61,Excellent,GIA,2157
0.71,F,SI1,63.4,57,Very Good,GIA,2157
0.71,F,SI1,62.9,57,Good,GIA,2157
0.73,F,SI2,61.5,56,Excellent,GIA,2157
0.72,D,SI2,63.1,59,Very Good,GIA,2157
0.6,E,VS1,61.6,59,Excellent,GIA,2157
0.62,F,VS1,59.9,61,Excellent,GIA,2158
0.8,J,VS1,61,59,Excellent,GIA,2158
0.73,E,SI1,59.8,56,Very Good,GIA,2158
0.54,E,VVS2,61.7,58,Excellent,GIA,2159
0.54,F,VVS1,60.6,58,Excellent,GIA,2159
0.54,E,VVS2,62.1,57,Excellent,GIA,2159
0.72,F,SI1,62.5,59,Excellent,GIA,2197
0.9,K,SI1,62.2,57,Excellent,GIA,2197
0.5,F,VVS1,59.8,58,Excellent,GIA,2198
0.58,F,VS1,61.7,57,Ideal,GIA,2199
0.58,F,VS1,62.9,55,Excellent,GIA,2199
0.51,D,VVS2,60.3,59,Excellent,GIA,2199
0.51,D,VVS2,60.1,62,Very Good,GIA,2199
0.55,E,VVS2,60.4,60,Excellent,GIA,2199
0.51,D,VVS2,61.5,61,Very Good,GIA,2199
0.51,E,VVS1,62.1,55,Excellent,GIA,2199
0.51,D,VVS2,62.7,57,Very Good,GIA,2199
0.5,E,VVS2,62,57,Excellent,GIA,2199
0.51,F,IF,61.1,58,Excellent,GIA,2199
0.6,E,VS2,59.6,59,Excellent,GIA,2199
0.53,E,VVS2,62.3,55,Excellent,GIA,2199
0.53,E,IF,62.4,56,Excellent,GIA,2200
0.81,I,SI1,62.4,56,Excellent,GIA,2200
0.7,I,VS1,62.1,57,Excellent,GIA,2200
0.73,F,SI2,61.4,59,Excellent,GIA,2200
0.6,G,VVS2,61.5,56,Ideal,GIA,2200
0.74,H,VS2,62.8,56,Very Good,GIA,2200
0.58,E,VVS1,61.1,60,Very Good,GIA,2201
0.7,E,SI2,59.1,60,Very Good,GIA,2201
0.6,E,VS1,60.7,57,Excellent,GIA,2201
0.71,D,SI1,61.7,60,Very Good,GIA,2202
0.91,K,VS1,63.5,55,Very Good,GIA,2232
0.55,F,VVS2,59.9,59,Excellent,GIA,2232
0.71,E,SI2,61.4,59,Excellent,GIA,2233
0.71,E,SI2,60,59,Excellent,GIA,2233
0.7,G,VS2,63.9,56,Very Good,GIA,2233
0.77,G,SI2,63.8,53,Very Good,GIA,2233
0.7,E,SI1,62.3,58,Excellent,GIA,2233
0.73,F,SI1,61,60,Very Good,GIA,2233
0.7,I,VS1,62.1,58,Excellent,GIA,2234
0.7,G,SI1,61.2,57,Ideal,GIA,2234
0.71,E,SI1,58,64,Very Good,GIA,2234
0.71,E,SI1,61.6,60,Excellent,GIA,2234
0.7,G,SI1,62.4,57,Excellent,GIA,2234
0.7,I,VS1,59.4,60,Excellent,GIA,2234
0.52,F,VVS1,60.1,56,Very Good,GIA,2234
0.52,F,VVS1,62.7,58,Very Good,GIA,2234
0.77,E,SI2,61.5,56,Ideal,GIA,2234
0.7,H,VS2,59.6,58,Very Good,GIA,2234
0.7,E,VS2,63.5,60,Good,GIA,2234
0.7,F,SI1,61.8,56,Excellent,GIA,2234
0.7,H,VS2,62.5,57,Very Good,GIA,2234
0.7,F,SI1,62.7,57,Very Good,GIA,2234
0.7,G,SI1,60.9,55,Very Good,GIA,2234
0.57,F,VVS1,62,58,Excellent,GIA,2235
0.75,F,SI1,60.9,59,Very Good,GIA,2236
0.54,E,VVS2,60.4,59,Excellent,GIA,2272
0.81,I,VS2,63.2,57,Very Good,GIA,2272
0.54,F,VVS1,61.3,59,Excellent,GIA,2272
0.81,H,SI1,63.6,55,Very Good,GIA,2272
0.64,H,VVS2,60,57,Ideal,GIA,2273
0.7,H,VVS2,62.8,60,Very Good,GIA,2273
0.72,F,SI1,61.6,57,Very Good,GIA,2273
0.7,D,SI2,60.9,58,Excellent,GIA,2273
0.72,F,SI1,60.4,58,Excellent,GIA,2273
0.61,D,VS1,62.1,55,Very Good,GIA,2273
0.77,I,VS1,61.1,61,Very Good,GIA,2274
0.8,H,SI1,62.9,56,Very Good,GIA,2274
0.51,F,VVS1,61.1,57,Ideal,GIA,2274
0.71,E,SI1,61,59,Excellent,GIA,2274
0.71,E,SI1,60.5,62,Very Good,GIA,2274
0.72,E,SI2,62,57,Excellent,GIA,2274
0.73,I,VS1,62,58,Excellent,GIA,2275
0.52,E,VVS1,62.2,56,Excellent,GIA,2275
0.83,F,SI2,61.5,56,Very Good,GIA,2276
0.71,H,VS2,60.7,58,Excellent,GIA,2276
0.81,J,VS1,61.9,54,Excellent,AGS,2276
0.7,F,SI1,63,57,Very Good,GIA,2276
0.78,I,VS2,60.1,60,Very Good,GIA,2276
0.9,J,SI2,61.6,56,Very Good,GIA,2277
0.72,E,SI2,61.3,54,Very Good,GIA,2277
0.81,H,SI1,61.3,58,Very Good,GIA,2313
0.71,D,SI1,61,60,Very Good,GIA,2314
0.71,D,SI1,63.2,58,Very Good,GIA,2314
0.51,D,VVS2,62,55,Excellent,GIA,2314
0.51,F,IF,61.5,58,Excellent,GIA,2314
0.55,E,VVS2,61.3,57,Ideal,GIA,2314
0.55,F,VVS1,61.3,58,Excellent,GIA,2314
0.51,E,VVS1,62.9,56,Excellent,GIA,2314
0.55,F,VVS1,60.9,59,Excellent,GIA,2314
0.72,D,SI2,62.3,58,Very Good,GIA,2314
0.72,F,SI1,64.1,57,Good,GIA,2314
0.61,G,VVS1,61.6,57,Excellent,GIA,2315
0.5,E,VVS1,60.8,62,Very Good,GIA,2315
0.94,K,VS2,63.9,56,Very Good,GIA,2316
0.94,K,VS2,62.5,57,Excellent,GIA,2316
0.73,F,SI1,60.2,57,Excellent,GIA,2316
0.73,F,SI1,62.5,58,Very Good,GIA,2316
0.73,D,SI2,61,55,Very Good,GIA,2316
0.5,E,VVS1,61.8,56,Excellent,GIA,2317
0.5,D,VVS2,62.5,56,Very Good,GIA,2317
0.5,E,VVS1,60.6,60,Excellent,GIA,2317
0.72,H,VVS2,63.5,58,Very Good,GIA,2317
0.72,E,SI2,62.4,56,Excellent,GIA,2317
0.5,D,VVS2,62,58,Very Good,GIA,2317
0.5,D,VVS2,62.5,55,Excellent,GIA,2317
0.72,E,SI2,62.2,56,Excellent,GIA,2359
0.72,E,SI2,62.4,56,Excellent,GIA,2359
0.77,D,SI2,62.6,58,Very Good,GIA,2359
0.77,G,SI1,62.4,59,Very Good,GIA,2359
0.7,G,VS1,61,58,Excellent,GIA,2359
0.61,F,VVS2,62.4,56,Excellent,GIA,2359
0.7,H,VS1,62.3,57,Excellent,AGS,2359
0.74,E,SI2,61.8,57,Ideal,GIA,2359
0.52,D,VVS2,61.1,55,Excellent,GIA,2360
0.52,F,IF,62.1,57,Excellent,GIA,2360
0.73,G,VS2,61.7,57,Excellent,GIA,2361
0.8,H,SI2,62.4,56,Excellent,GIA,2361
0.8,H,SI2,62.5,56,Excellent,GIA,2361
0.81,I,VS2,62.5,58,Excellent,GIA,2361
0.71,G,VS2,60.5,58,Excellent,GIA,2362
0.8,I,VS2,60.4,57,Ideal,GIA,2362
0.72,F,SI1,62.7,58,Very Good,GIA,2362
0.62,D,VS1,59.8,61,Excellent,GIA,2362
0.74,H,VS2,60,59,Excellent,GIA,2362
0.54,E,VVS2,60.1,59,Excellent,GIA,2363
0.65,E,VS1,59.4,61,Excellent,GIA,2364
0.8,H,SI1,60.3,59,Excellent,GIA,2364
0.8,F,SI2,60.8,55,Excellent,GIA,2364
0.72,H,VS1,61.6,56,Ideal,GIA,2364
0.7,H,VS2,58.6,61,Very Good,GIA,2365
0.81,J,SI1,59.8,59,Excellent,GIA,2406
0.9,J,SI2,62,53,Very Good,GIA,2406
0.54,E,VVS2,57.5,61,Good,GIA,2406
0.63,G,VVS2,61.9,56,Ideal,GIA,2407
0.71,E,VS2,62.6,60,Very Good,GIA,2407
0.57,E,VVS2,63.2,57,Excellent,GIA,2407
0.71,G,VS1,62.2,58,Excellent,GIA,2407
0.91,J,SI1,63.9,60,Very Good,GIA,2407
0.53,G,IF,60.5,60,Excellent,GIA,2408
0.72,E,SI1,59.9,58,Very Good,GIA,2408
0.7,G,VS1,61.2,58,Very Good,GIA,2409
0.7,G,VS1,61.5,59,Excellent,GIA,2409
0.7,G,VS1,62.2,56,Excellent,GIA,2409
0.7,G,VS1,62.3,57,Excellent,GIA,2409
0.56,D,VVS2,61.6,57,Ideal,GIA,2409
0.56,E,VVS1,62.1,58,Excellent,GIA,2409
0.5,E,VVS1,60.2,60,Excellent,GIA,2409
0.71,D,SI2,62.2,59,Very Good,GIA,2409
0.6,H,IF,60.6,58,Excellent,GIA,2409
0.86,J,VS1,62.6,57,Excellent,GIA,2409
0.73,F,SI1,61.1,60,Very Good,GIA,2409
0.83,E,SI2,62,56,Very Good,GIA,2409
0.51,G,IF,62.6,56,Excellent,GIA,2410
0.51,G,IF,62.5,56,Excellent,GIA,2410
0.6,F,VVS2,62.3,57,Very Good,GIA,2410
0.7,E,VS1,62.2,59,Very Good,GIA,2458
0.7,E,VS1,60.6,59,Good,GIA,2458
0.7,E,SI1,62.2,57,Excellent,GIA,2458
0.73,G,SI1,61,57,Excellent,AGS,2458
0.93,K,VS2,59.5,61,Excellent,GIA,2458
0.79,E,SI2,59.5,59,Excellent,GIA,2459
0.56,F,IF,62.3,56,Excellent,GIA,2459
0.61,G,VVS1,62.5,57,Excellent,GIA,2459
0.61,G,VVS1,59.9,59,Excellent,GIA,2459
0.72,G,VS2,60.2,60,Excellent,GIA,2459
0.58,F,VVS1,62.5,56,Excellent,GIA,2459
0.58,G,IF,62,58,Excellent,GIA,2460
0.71,H,VVS2,62.3,56,Excellent,GIA,2460
0.71,I,IF,60.2,64,Good,GIA,2460
0.73,I,IF,62.2,56,Excellent,GIA,2460
0.71,E,SI1,63.3,55,Very Good,GIA,2460
0.7,F,VS2,62.7,59,Very Good,GIA,2461
0.7,G,VS2,60.4,60,Very Good,GIA,2461
0.72,E,SI1,62.4,57,Excellent,GIA,2462
0.78,F,SI1,62.1,58,Very Good,GIA,2462
0.78,F,SI1,62.5,59,Very Good,GIA,2462
0.7,D,SI1,62.1,55,Very Good,GIA,2463
0.67,H,VVS2,61.6,56,Excellent,GIA,2464
0.61,E,VVS2,60.5,59,Excellent,GIA,2464
0.61,E,VVS2,61.7,57,Ideal,GIA,2464
0.71,E,SI1,63.9,56,Very Good,GIA,2515
0.8,I,VS2,62.2,57,Excellent,GIA,2516
0.57,D,VVS2,61.6,55,Excellent,GIA,2516
0.57,E,VVS1,62.3,56,Excellent,GIA,2516
